analysis_id,1ywb5mt8c8830jz
mouse_strain,C57BL
gene_symbol,Cntfr
parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:99605
parameter_id,IMPC_IMM_034_001
Mouse_life_stage,Early adult
Pvalue,0.08932195
