parameter_name,Eosinophil percentage
mouse_strain,C57BL
gene_accession_id,MGI:1860103
mouse_life_stage,Early adult
pvalue,0.6701922
analysis_id,n47x294c5491u5r
parameter_id,MGP_PBI_020_001
gene_symbol,Slc2a8
