parameter_name,Time mobile light side
parameter_id,JAX_LDT_003_001
mouse_life_stage,E9.5
pvalue,0.1000237
mouse_strain,C57BL
analysis_id,9d0189x747807sy
gene_symbol,Ints7
gene_accession_id,MGI:1924315
