parameter_id,JAXLA_DXA_007_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
parameter_name,BMC/Body weight
pvalue,0.4079314
gene_symbol,Ssr2
analysis_id,3v3p7lzf47146p3
mouse_strain,C57BL
