gene_symbol,Tent5c
gene_accession_id,MGI:1921895
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_003_001
pvalue,0.8916831
parameter_name,Lean mass
analysis_id,1q527tihc23y781
mouse_strain,C57BL
