analysis_id,c3332n2k40zhnc1
mouse_strain,C57BL
parameter_id,MGP_PBI_011_001
pvalue,0.4964037
gene_symbol,Col6a3
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
parameter_name,KLRG1+ mature NK cell percentage
