parameter_name,Pale yolk sac
parameter_id,IMPC_GEL_017_002
mouse_life_stage,E9.5
gene_symbol,Bcs1l
pvalue,0.053148
analysis_id,y2q22h56228331c
gene_accession_id,MGI:1914071
mouse_strain,C57BL
