gene_symbol,Tnni1
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
pvalue,0.08599944
analysis_id,h607f833177fbx9
parameter_name,Midbrain
mouse_strain,C57BL
parameter_id,IMPC_GEL_029_001
