parameter_name,QT
gene_symbol,Morn5
mouse_strain,C57BL
analysis_id,ou9x1nlcxpob2jw
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
pvalue,0.5484254
parameter_id,IMPC_ECG_028_001
