mouse_life_stage,Middle aged adult
parameter_id,MGP_IMM_010_001
analysis_id,1j87d3e2d636sgj
pvalue,0.4456373
gene_accession_id,MGI:2140475
mouse_strain,C57BL
gene_symbol,AU040320
parameter_name,Effector Treg cells - % of Treg
