gene_symbol,Cds2
pvalue,0.4040424
analysis_id,0c2o5219d6s25gh
parameter_id,MGP_MLN_021_001
mouse_strain,129SV
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
