analysis_id,3266f3594f4ddl3
parameter_name,Creatinine
mouse_strain,C57BL
parameter_id,IMPC_CBC_005_001
gene_symbol,Bcs1l
pvalue,0.5907794
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
