parameter_name,Zygomatic bone
gene_symbol,Ncaph
pvalue,0.1781974
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,0ienk760442pc5u
parameter_id,IMPC_XRY_002_001
gene_accession_id,MGI:2444777
