gene_symbol,Rigi
mouse_strain,C57BL
analysis_id,r0g66zyczrcojrq
parameter_name,Vocalization
mouse_life_stage,Early adult
pvalue,0.1860052
gene_accession_id,MGI:2442858
parameter_id,IMPC_CSD_078_001
