analysis_id,c7y1g02h919hzqe
mouse_strain,C57BL
pvalue,0.5494011
parameter_name,Tibia
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_025_001
gene_symbol,Hspa5
