analysis_id,94hmgvh3kad9849
parameter_name,Body position
parameter_id,ESLIM_008_001_001
gene_symbol,Zmynd19
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4284648
gene_accession_id,MGI:1914437
