parameter_name,Clavicle
gene_symbol,Cmpk1
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_007_001
mouse_strain,C57BL
gene_accession_id,MGI:1913838
analysis_id,82sj0nd4g63in09
pvalue,0.7349358
