gene_symbol,Ssr2
pvalue,0.7839145
parameter_name,Large Unstained Cell (LUC) count
parameter_id,IMPC_HEM_039_001
analysis_id,wx2e8vza58t1f7h
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
