analysis_id,7uz9c03i1817bv2
mouse_life_stage,Early adult
parameter_name,Fractional Shortening
gene_symbol,Rab22a
gene_accession_id,MGI:105072
parameter_id,IMPC_ECH_005_001
pvalue,0.5201437
mouse_strain,C57BL
