analysis_id,z7d15ra6hk95yo2
gene_symbol,Tnfsf8
mouse_life_stage,Early adult
pvalue,0.2805076
parameter_id,IMPC_XRY_025_001
parameter_name,Tibia
gene_accession_id,MGI:88328
mouse_strain,C57BL
