gene_symbol,Dnajc5b
parameter_name,Time mobile dark side
parameter_id,JAX_LDT_005_001
gene_accession_id,MGI:1913576
pvalue,0.3498232
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,542ts928vr36h3f
