analysis_id,xm8bj62l112is43
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Heart weight
pvalue,0.9200379
parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:95835
gene_symbol,Hspa5
