gene_symbol,Kdm5b
gene_accession_id,MGI:1922855
analysis_id,8451600fx51hs1n
mouse_life_stage,Early adult
parameter_name,Coat - color - abdomen
parameter_id,JAXLA_CSD_007_001
pvalue,0.4497256
mouse_strain,C57BL
