analysis_id,p34341an5mn51v5
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
pvalue,0.7750121
mouse_strain,129SV
parameter_name,Lumbar processes
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_065_001
