parameter_name,Mean cell volume
mouse_strain,C57BL
pvalue,0.4636118
mouse_life_stage,Early adult
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
analysis_id,g819h4l1c369s07
parameter_id,ESLIM_016_001_005
