analysis_id,5k0n3z987p69d58
mouse_life_stage,Middle aged adult
parameter_name,Global prepulse inhibition
mouse_strain,C57BL
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.4369501
