analysis_id,57i3th8b879s1ym
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
parameter_id,JAX_OFD_010_001
gene_symbol,Extl1
pvalue,0.3010288
parameter_name,Periphery distance travelled
mouse_strain,C57BL
