analysis_id,3a4ay6mhe54d8g7
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_006_001
mouse_strain,C57BL
gene_accession_id,MGI:1924054
parameter_name,Narrow eye opening
pvalue,0.9146502
gene_symbol,Kdm4c
