analysis_id,btii51qx9y405la
gene_accession_id,MGI:1915087
mouse_strain,C57BL
gene_symbol,Tiprl
pvalue,0.6610192
parameter_id,MGP_IMM_073_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,E12.5
