analysis_id,6q0972l743udpj7
mouse_strain,C57BL
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_name,Cornea vascularisation
mouse_life_stage,Early adult
pvalue,0.1226731
parameter_id,ESLIM_014_001_008
