analysis_id,001r384xi2cyen6
mouse_strain,C57BL
pvalue,0.1444865
parameter_id,IMPC_CSD_028_001
mouse_life_stage,Early adult
parameter_name,Snout size
gene_symbol,Maco1
gene_accession_id,MGI:1913396
