gene_symbol,Col6a3
mouse_strain,C57BL
pvalue,0.3680792
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
analysis_id,4f2ule7fl7gt98z
gene_accession_id,MGI:88461
parameter_id,MGP_MLN_005_001
