parameter_name,Lumbar processes
pvalue,0.7706177
analysis_id,91h15b1420j02wl
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_065_001
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
