parameter_id,IMPC_GPO_002_001
pvalue,0.8764625
gene_accession_id,MGI:1914556
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
parameter_name,Placenta Morphology
analysis_id,tsxw4777s3k0vc2
