parameter_name,HRV
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_010_001
mouse_strain,C57BL
gene_accession_id,MGI:2444777
analysis_id,6d1for691v8289r
gene_symbol,Ncaph
pvalue,0.5523666
