parameter_name,Vocalization
gene_accession_id,MGI:1338022
gene_symbol,Opn3
analysis_id,4aq9586go49jqfk
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_078_001
pvalue,0.43292
mouse_strain,C57BL
