analysis_id,n3swpfu5xzmdf7t
parameter_name,CD8 CD44+CD62L- T cells
parameter_id,IMPC_IMM_032_001
pvalue,0.9686041
mouse_life_stage,Early adult
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_strain,C3H
