gene_symbol,Ntmt2
parameter_name,Lumbar processes
pvalue,0.3905841
parameter_id,IMPC_XRY_065_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,y0p8lae5647ydq4
gene_accession_id,MGI:2685053
