gene_symbol,Mov10
mouse_strain,C57BL
parameter_name,Midbrain
parameter_id,IMPC_GEL_029_001
pvalue,0.2887779
analysis_id,f394632dx929w4h
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
