gene_symbol,Trp53i11
parameter_id,IMPC_GEL_057_001
analysis_id,v0ftiqy6l98901b
pvalue,0.3225662
mouse_life_stage,Early adult
parameter_name,Heart looping
mouse_strain,C57BL
gene_accession_id,MGI:2670995
