pvalue,5.565458e-05
parameter_id,IMPC_CSD_016_001
mouse_strain,C57BL
parameter_name,Coat - hair texture / appearance - abdomen
gene_symbol,Rap2b
mouse_life_stage,Early adult
analysis_id,22hjz5e294d7jdt
gene_accession_id,MGI:1921262
