analysis_id,wx20unet1500819
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:2685277
pvalue,0.3863826
gene_symbol,Zyg11b
parameter_id,IMPC_IMM_004_002
mouse_strain,C57BL
mouse_life_stage,Early adult
