parameter_id,HRWLLA_GRS_010_001
mouse_life_stage,E9.5
gene_symbol,Hspa5
analysis_id,616t6o3c9g694ie
parameter_name,Forelimb grip strength normalised against body weight
gene_accession_id,MGI:95835
pvalue,0.1939705
mouse_strain,C57BL
