analysis_id,4l76udn8c84k3a4
gene_symbol,Lamb3
parameter_id,IMPC_OFD_021_001
parameter_name,Number of rears - total
gene_accession_id,MGI:99915
mouse_strain,C57BL
pvalue,0.9826958
mouse_life_stage,Early adult
