parameter_name,Periphery permanence time
gene_symbol,Atrn
gene_accession_id,MGI:1341628
analysis_id,a4g1mlt7176hp1i
mouse_life_stage,Early adult
pvalue,0.4591176
parameter_id,JAX_OFD_012_001
mouse_strain,C57BL
