gene_symbol,Trdmt1
parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
analysis_id,u9k6m56c7g15ux8
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
parameter_name,Heart weight
pvalue,0.8152754
