gene_symbol,Hpca
pvalue,0.4730153
parameter_name,Cleft palate
parameter_id,IMPC_GEP_076_001
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,4946ft27yi64l2m
