analysis_id,hm8q2u3fk241y5l
parameter_id,MGP_PBI_004_001
pvalue,0.2387265
gene_symbol,Tnfsf8
parameter_name,CD8+ alpha beta T cell percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:88328
