analysis_id,2q58k018d116os1
parameter_name,% Pre-pulse inhibition - PPI4
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_life_stage,Middle aged adult
parameter_id,IMPC_ACS_036_001
mouse_strain,C57BL
pvalue,0.3935303
