analysis_id,va5n8f6w8e998i1
mouse_strain,C57BL
parameter_name,Creatinine
mouse_life_stage,E18.5
parameter_id,JAX_URI_002_001
gene_accession_id,MGI:1914561
gene_symbol,Nanp
pvalue,0.7577218
