parameter_id,IMPC_OFD_020_001
pvalue,0.4796203
parameter_name,Distance travelled - total
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
mouse_strain,C57BL
analysis_id,arb43w5vns34707
mouse_life_stage,Early adult
