gene_symbol,Ifi44
mouse_strain,C57BL
analysis_id,iq4jaq6k5evzl0m
mouse_life_stage,Early adult
gene_accession_id,MGI:2443016
parameter_id,IMPC_CBC_008_001
parameter_name,Total bilirubin
pvalue,0.8544255
