gene_symbol,Sema6c
mouse_strain,C57BL
analysis_id,740610uoth2598j
mouse_life_stage,Early adult
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.658602
gene_accession_id,MGI:1338032
parameter_id,MGP_MLN_066_001
