analysis_id,3ifd3x2851sesax
parameter_id,UCD_OWT_003_001
mouse_life_stage,E12.5
pvalue,0.3508065
gene_accession_id,MGI:95835
gene_symbol,HSPA5
mouse_strain,C57BL
parameter_name,Spleen weight
