gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_life_stage,E15.5
parameter_id,IMPC_XRY_027_001
parameter_name,Joints
analysis_id,10746urdeyy7dwp
mouse_strain,C57BL
pvalue,0.2960415
