gene_symbol,Psmd14
parameter_id,IMPC_OFD_017_001
parameter_name,Center average speed
pvalue,0.6162572
analysis_id,fh7gz6g1ug92cfm
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
