analysis_id,l8xzu106btq8fan
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_strain,C57BL
parameter_id,IMPC_GRS_009_001
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
pvalue,0.3767549
