gene_symbol,Il1r1
mouse_life_stage,Early adult
pvalue,0.9743438
gene_accession_id,MGI:96545
parameter_id,IMPC_IMM_050_001
parameter_name,Neutrophils
mouse_strain,C57BL
analysis_id,55vcw7ugh48r761
