analysis_id,n450ji7d896bly0
parameter_id,JAXLA_CSD_022_001
gene_accession_id,MGI:1345282
parameter_name,Hindlimbs - size
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Slc30a4
pvalue,0.7205135
