analysis_id,k3r4409io0t473p
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_011_001
mouse_strain,129SV
parameter_name,Periphery resting time
gene_accession_id,MGI:1918025
pvalue,0.4127593
gene_symbol,Zmynd8
