analysis_id,9cd0c11k98pw4t4
parameter_id,JAXLA_CSD_007_001
pvalue,0.959976
gene_accession_id,MGI:99605
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Cntfr
