parameter_id,MGP_IMM_089_001
gene_accession_id,MGI:88071
pvalue,0.5440818
gene_symbol,Arnt
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of CD45+
analysis_id,8744l90s8ep4126
