analysis_id,8b01qr53ylx4542
parameter_id,IMPC_OFD_020_001
gene_accession_id,MGI:1934811
parameter_name,Distance travelled - total
pvalue,0.1968463
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Nucks1
