analysis_id,g8vj7rqz5cd50g0
pvalue,0.5744061
gene_symbol,Fgb
mouse_strain,C57BL
parameter_name,B Cells
mouse_life_stage,E15.5
parameter_id,IMPC_IMM_063_001
gene_accession_id,MGI:99501
